HTR4	Q13639
SLC7A1	P30825
SLC7A2	P52569
SLC7A3	Q8WY07
FRZB	Q92765
MFN1	Q8IWA4
MFN2	O95140
P4HTM	Q9NXG6
TRAPPC10	P48553
NOC3L	Q8WTT2
RABIF	P47224
FRYL	O94915
FRK	P42685
PLOD3	O60568
PLOD2	O00469
PLOD1	Q02809
FRY	Q5TBA9
ADORA3	P0DMS8
ADORA1	P30542
SYBU	Q9NX95
BNIP3L	O60238
FST	P19883
CLUHP3	Q96NS8
MFNG	O00587
IL6ST	P40189
FTL	P02792
COL17A1	Q9UMD9
FTO	Q9C0B1
CHODL	Q9H9P2
DLX1	P56177
DLX2	Q07687
DLX3	O60479
DLX4	Q92988
DLX5	P56178
DLX6	P56179
CORO1A	P31146
CORO1B	Q9BR76
CORO1C	Q9ULV4
FUK	Q8N0W3
SLC14A1	Q13336
SLC14A2	Q15849
FUS	P35637
ELOA2	Q8IYF1
FUZ	Q9BT04
ELOA3	Q8NG57
CORO2A	Q92828
CORO2B	Q9UQ03
NDC80	O14777
SYCN	Q0VAF6
CDC73	Q6P1J9
RLBP1	P12271
COMMD10	Q9Y6G5
SYF2	O95926
FXN	Q16595
SLC5A11	Q8WWX8
SLC5A12	Q1EHB4
SLC5A10	A0PJK1
RCHY1	Q96PM5
EHBP1	Q8NDI1
CDC42	P60953
CDC45	O75419
FYN	P06241
FSD2	A1L4K1
FSD1	Q9BTV5
GADD45GIP1	Q8TAE8
CDC5L	Q99459
FSBP	O95073
STUB1	Q9UNE7
CDC20	Q12834
CDC23	Q9UJX2
HYKK	A2RU49
CDC26	Q8NHZ8
CDC27	P30260
ATP6V1E1	P36543
ATP6V1E2	Q96A05
ATP6V1G1	O75348
ATP6V1G2	Q13838
CDC40	O60508
PYURF	Q96I23
CDC34	P49427
CDC37	Q16543
TRIB3	Q96RU7
TRIB1	Q96RU8
TRIB2	Q92519
ZNF324B	Q6AW86
OMA1	Q96E52
CDKN2AIP	Q9NXV6
ATP6V1C1	P21283
ATP6V1C2	Q8NEY4
PRSS46P	E5RG02
CDC16	Q13042
SLC2A4RG	Q9NR83
SYNM	O15061
ZNF321P	Q8N8H1
CRTAC1	Q9NQ79
ZNF587B	E7ETH6
FSHB	P01225
GAA	P10253
PRSS3P2	Q8NHM4
SYN3	O14994
SYN2	Q92777
SYN1	P17600
GAK	O14976
GAL	P22466
GAN	Q9H2C0
FSHR	P23945
DMC1	Q14565
SYNC	Q9H7C4
GBA	P04062
NFIL3	Q16649
ATP6V1G3	Q96LB4
ZNF585B	Q52M93
ZNF585A	Q6P3V2
OFCC1	Q8IZS5
GCA	P28676
GCG	P01275
HYPM	O75409
HYPK	Q9NX55
GCK	P35557
CFHR2	P36980
CFHR1	Q03591
CFHR4	Q92496
CFHR3	Q02985
CFHR5	Q9BXR6
SRP19	P09132
SYS1	Q8N2H4
PCDH11Y	Q9BZA8
AMHR2	Q16671
GDA	Q9Y2T3
RPP30	P78346
PCDH11X	Q9BZA7
WASHC2C	Q9Y4E1
SRP14	P37108
WASHC2A	Q641Q2
BORCS8	Q96FH0
BORCS7	Q96B45
RPP38	P78345
BORCS6	Q96GS4
BORCS5	Q969J3
GEM	P55040
SPOCD1	Q6ZMY3
RPP21	Q9H633
FETUB	Q9UGM5
RPP25	Q9BUL9
OR14L1P	Q8NHC6
SYCE3	A1L190
SYCE2	Q6PIF2
SYCE1	Q8N0S2
SYT5	O00445
SYT4	Q9H2B2
MGAM	O43451
SYT3	Q9BQG1
SYT2	Q8N9I0
SYT1	P21579
RPP40	O75818
GGH	Q92820
SYT9	Q86SS6
SYT8	Q8NBV8
SYT7	O43581
MANBAL	Q9NQG1
GGN	Q86UU5
SYT6	Q5T7P8
GH2	P01242
GH1	P01241
DMKN	Q6E0U4
GHR	P10912
TGIF1	Q15583
TGIF2	Q9GZN2
SPIDR	Q14159
GIP	P09681
ATP6V1B2	P21281
ATP6V1B1	P15313
CASC10	NP_001010911
REP15	Q6BDI9
GK2	Q14410
GK5	Q6ZS86
SPOCK2	Q92563
SPOCK3	Q9BQ16
SPOCK1	Q08629
ENTR1	Q96C92
RPP14	O95059
ATF7IP	Q6VMQ6
FAHD1	Q6P587
GLA	P06280
ANKLE2	Q86XL3
DMP1	Q13316
ANKRD20A1	Q5TYW2
GLS	O94925
CSPP1	Q1MSJ5
AP1S2	P56377
AP1S1	P61966
AP1S3	Q96PC3
SPANXB1	Q9NS25
GML	Q99445
ADPRH	P54922
ADPRM	Q3LIE5
SPANXA2	Q9NS26
GNE	Q9Y223
SPANXA1	Q9NS26
SEH1L	Q96EE3
GNS	P15586
OR5M11	Q96RB7
OR5M10	Q6IEU7
IGHA1	P01876
IGHA2	P01877
DMPK	Q09013
GRTP1	Q5TC63
SNAI3	Q3KNW1
GP2	P55259
GP6	Q9HCN6
GP5	P40197
GP9	P14770
SNAI1	O95863
SNAI2	O43623
GPI	P06744
YJEFN3	A6XGL0
GPT	P24298
TIMP2	P16035
TIMP3	P35625
TIMP1	P01033
TEAD1	P28347
TIMP4	Q99727
TEAD2	Q15562
TEAD3	Q99594
TEAD4	Q15561
NUTF2	P61970
GCHFR	P30047
CACTIN	Q8WUQ7
MGLL	Q99685
GRN	P28799
GRP	P07492
SGMS1	Q86VZ5
TIMM9	Q9Y5J7
SGMS2	Q8NHU3
APOLD1	Q96LR9
SCAF8	Q9UPN6
GPNMB	Q14956
GSC	P56915
GSN	P06396
DMTN	Q08495
MGMT	P16455
GSS	P48637
GSR	P00390
SCAF1	Q9H7N4
SLC8B1	Q6J4K2
SCAF4	O95104
SLC8A3	P57103
ANKRD13C	Q8N6S4
RAB3B	P20337
RAB3C	Q96E17
ANKRD13B	Q86YJ7
RAB3A	P20336
ANKRD13D	Q6ZTN6
RAB3D	O95716
SYAP1	Q96A49
IL5RA	Q01344
SLC8A1	P32418
SLC8A2	Q9UPR5
IGHG3	P01860
RAB43	Q86YS6
IGHG4	P01861
RAB44	Q7Z6P3
IGHG1	P01857
RAB41	Q5JT25
IGHG2	P01859
RAB42	Q8N4Z0
SLC39A9	Q9NUM3
SLC39A6	Q13433
SLC39A5	Q6ZMH5
SLC39A8	Q9C0K1
SLC39A7	Q92504
SLC39A2	Q9NP94
SLC39A1	Q9NY26
ANKRD13A	Q8IZ07
SLC39A4	Q6P5W5
SLC39A3	Q9BRY0
RAB2A	P61019
RAB2B	Q8WUD1
RAB32	Q13637
LBHD1	Q9BQE6
RAB30	Q15771
RAB31	Q13636
RAB36	O95755
RAB37	Q96AX2
RAB34	Q9BZG1
DMWD	Q09019
EIF4E1B	A6NMX2
RAB35	Q15286
RAB38	P57729
RAB5B	P61020
RAB5C	P51148
RAB6A	P20340
RAB6B	Q9NRW1
AP1M2	Q9Y6Q5
AP1M1	Q9BXS5
RAB4A	P20338
RAB4B	P61018
DUPD1	Q68J44
P4HA1	P13674
P4HA2	O15460
P4HA3	Q7Z4N8
CSPG5	O95196
CSPG4	Q6UVK1
RAB5A	P20339
ADPGK	Q9BRR6
FTCD	O95954
AP1G2	O75843
AP1G1	O43747
SLC13A1	Q9BZW2
SLC13A2	Q13183
SLC13A3	Q8WWT9
SLC13A4	Q9UKG4
CHPF2	Q9P2E5
RAB1A	P62820
NUTM1	Q86Y26
RAB1B	Q9H0U4
RAB1C	Q92928
FBXL22	Q6P050
FBXL20	Q96IG2
RAB21	Q9UL25
FBXL21	Q9UKT6
RAB20	Q9NX57
MSTO1	Q9BUK6
RAB25	P57735
RAB26	Q9ULW5
RAB23	Q9ULC3
RAB24	Q969Q5
RAB29	O14966
RAB28	P51157
SLC13A5	Q86YT5
RNGTT	O60942
FBXL19	Q6PCT2
FBXL17	Q9UF56
FBXL18	Q96ME1
FBXL15	Q9H469
FBXL16	Q8N461
FBXL13	Q8NEE6
FBXL14	Q8N1E6
FBXL12	Q9NXK8
RAB10	P61026
TNRC6C	Q9HCJ0
RAB14	P61106
VAPA	Q9P0L0
PSAT1	Q9Y617
RAB15	P59190
VAPB	O95292
RAB12	Q6IQ22
RAB13	P51153
RAB18	Q9NP72
RAB19	A4D1S5
RAB17	Q9H0T7
TNRC6A	Q8NDV7
TNRC6B	Q9UPQ9
PANK4	Q9NVE7
PANK2	Q9BZ23
TRAF3IP3	Q9Y228
PANK3	Q9H999
VARS	P26640
TRAF3IP2	O43734
CALML5	Q9NZT1
PANK1	Q8TE04
TRAF3IP1	Q8TDR0
CALML6	Q8TD86
CALML3	P27482
KAT5	Q92993
FTH1	P02794
LONP1	P36776
KAT8	Q9H7Z6
LONP2	Q86WA8
KAT7	O95251
TKTL2	Q9H0I9
TKTL1	P51854
ATP6V0E1	O15342
ESCO1	Q5FWF5
TINF2	Q9BSI4
AP1B1	Q10567
AP1AR	Q63HQ0
ESCO2	Q56NI9
KARS	Q15046
DNA2	P51530
ATP6V0D1	P61421
ATP6V0D2	Q8N8Y2
TWIST2	Q8WVJ9
TWIST1	Q15672
SPHAR	Q15513
MYL12A	P19105
MYL12B	O14950
DND1	Q8IYX4
ATP6V0A2	Q9Y487
ATP6V0A4	Q9HBG4
TNRC18	O15417
ATP6V0A1	Q93050
VASP	P50552
VAT1	Q99536
VASN	Q6EMK4
TYMSOS	Q8TAI1
HAL	P42357
FUBP3	Q96I24
FUBP1	Q96AE4
COL18A1	P39060
HBB	P68871
HBD	P02042
HBM	Q6B0K9
DNER	Q8NFT8
TINAG	Q9UJW2
GABPA	Q06546
RALGPS1	Q5JS13
RAB8A	P61006
RAB8B	Q92930
RALGPS2	Q86X27
VAV3	Q9UKW4
HBZ	P02008
RAB6C	Q9H0N0
GPBAR1	Q8TDU6
RENBP	P51606
VAV1	P15498
VAV2	P52735
HCK	P08631
CDCP1	Q9H5V8
RAB7B	Q96AH8
RAB7A	P51149
HDC	P19113
ZNF2	Q9BSG1
ZNF3	P17036
ZNF8	P17098
ZNF7	P17097
PSMC3IP	Q9P2W1
DUOX1	Q9NRD9
FTMT	Q8N4E7
UBTD2	Q8WUN7
UBTD1	Q9HAC8
ATP6V0E2	Q8NHE4
GABRE	P78334
HDX	Q7Z353
GABRD	O14764
DUOX2	Q9NRD8
GABRQ	Q9UN88
GABRP	O00591
FAM189A2	Q15884
PLAC8L1	A1L4L8
FAM189A1	O60320
VAX1	Q5SQQ9
VAX2	Q9UIW0
CAPZA3	Q96KX2
CAPZA1	P52907
CAPZA2	P47755
RAB9A	P51151
RAB9B	Q9NP90
HFE	Q30201
FAIM2	Q9BWQ8
TRAPPC12	Q8WVT3
TRAPPC11	Q7Z392
TRAPPC13	A5PLN9
NANOS1	Q8WY41
NANOS2	P60321
SZT2	Q5T011
TRAPPC2L	Q9UL33
HGD	Q93099
HGF	P14210
NANOS3	P60323
KAZN	Q674X7
TRAPPC2B	P0DI82
HGS	O14964
TRAPPC3L	Q5T215
TRHDE	Q9UKU6
SEPSECS	Q9HD40
HAPLN3	Q96S86
HAPLN4	Q86UW8
HK2	P52789
HAPLN1	P10915
HK1	P19367
HAPLN2	Q9GZV7
HK3	P52790
HJV	Q6ZVN8
TMPRSS11A	Q6ZMR5
TMPRSS11B	Q86T26
AXIN1	O15169
AXIN2	Q9Y2T1
TMPRSS11F	Q6ZWK6
DNM1	Q05193
DNM2	P50570
TMPRSS11D	O60235
DNM3	Q9UQ16
TRAPPC6A	O75865
TRAPPC6B	Q86SZ2
DNLZ	Q5SXM8
HLF	Q16534
RNF113A	O15541
RNF113B	Q8IZP6
HLX	Q14774
LEPROTL1	O95214
MAPKBP1	O60336
OR10AC1	Q8NH08
OR10AD1	Q8NGE0
HPD	P32754
NCBP2-AS2	Q69YL0
HPN	P05981
HPR	P00739
GIGYF2	Q6Y7W6
HPX	P02790
FIGNL1	Q6PIW4
GPR17	Q13304
GPR15	P49685
GPR12	P47775
EXOC6B	Q9Y2D4
BHMT	Q93088
HRC	P23327
HRG	P04196
GPR18	Q14330
HRK	O00198
GPR27	Q9NS67
GPR25	O00155
GPR26	Q8NDV2
GPR21	Q99679
GPR22	Q99680
GPR20	Q99678
SH3BGRL2	Q9UJC5
SH3BGRL3	Q9H299
GPR39	O43194
GPR37	O15354
GPR35	Q9HC97
GPR32	O75388
GPR33	Q49SQ1
GPR31	O00270
DNTT	P04053
MANEAL	Q5VSG8
VN1R1	Q9GZP7
VN1R2	Q8NFZ6
VN1R4	Q7Z5H5
VN1R5	Q7Z5H4
ERVFRD-1	P60508
GPR45	Q9Y5Y3
HTT	P42858
GPR42	O15529
SRPX2	O60687
MICALL1	Q8N3F8
AP2S1	P53680
MICALL2	Q8IY33
SRSF10	O75494
SRSF11	Q05519
SRSF12	Q8WXF0
GPR55	Q9Y2T6
GPR52	Q9Y2T5
GPR50	Q13585
GPR68	Q15743
GPR65	Q8IYL9
GPR63	Q9BZJ6
GPR61	Q9BZJ8
SLC9C1	Q4G0N8
SLC9C2	Q5TAH2
SH2D5	Q6ZV89
AP2M1	Q96CW1
SLC38A1	Q9H2H9
GPR78	Q96P69
GPR75	O95800
SLC9B1	Q4ZJI4
SLC9B2	Q86UD5
SLC9A2	Q9UBY0
SLC9A3	P48764
SLC9A4	Q6AI14
SLC9A5	Q14940
SLC9A6	Q92581
SLC9A7	Q96T83
SLC9A8	Q9Y2E8
SLC9A9	Q8IVB4
SNRNP200	O75643
GPR87	Q9BY21
GPR85	P60893
GPR83	Q9NYM4
GPR84	Q9NQS5
SLC9A1	P19634
SLC38A7	Q9NVC3
SLC38A6	Q8IZM9
HYI	Q5T013
SLC38A9	Q8NBW4
SLC38A3	Q99624
SLC38A2	Q96QD8
SLC38A5	Q8WUX1
SLC38A4	Q969I6
NFKB1	P19838
NFKB2	Q00653
GNL3L	Q9NVN8
UBLCP1	Q8WVY7
NFE2L3	Q9Y4A8
NFE2L1	Q14494
NFE2L2	Q16236
TSSK1B	Q9BXA7
VBP1	P61758
GIGYF1	O75420
L3MBTL4	Q8NA19
GTF3C1	Q12789
GTF3C2	Q8WUA4
GTF3C3	Q9Y5Q9
GTF3C4	Q9UKN8
GTF3C5	Q9Y5Q8
GTF3C6	Q969F1
MICALCL	Q6ZW33
SH2B3	Q9UQQ2
SH2B2	O14492
SH2B1	Q9NRF2
SLC12A2	P55011
SLC12A3	P55017
SLC12A4	Q9UP95
SLC12A5	Q9H2X9
SLC12A1	Q13621
AHCYL2	Q96HN2
AHCYL1	O43865
BPIFA1	Q9NP55
BPIFA2	Q96DR5
SLC12A6	Q9UHW9
SLC12A7	Q9Y666
SLC12A8	A0AV02
SLC12A9	Q9BXP2
PAQR8	Q8TEZ7
PAQR6	Q6TCH4
PAQR7	Q86WK9
PAQR4	Q8N4S7
PAQR5	Q9NXK6
PAQR3	Q6TCH7
HNF1B	P35680
HNF1A	P20823
PPP1R3G	B7ZBB8
STX1B	P61266
PPP1R3F	Q6ZSY5
PPP1R3C	Q9UQK1
PPP1R3B	Q86XI6
PPP1R3E	Q9H7J1
PPP1R3D	O95685
PPP1R42	Q7Z4L9
STX1A	Q16623
L3MBTL1	Q9Y468
PPP1R37	O75864
PPP1R36	Q96LQ0
L3MBTL3	Q96JM7
L3MBTL2	Q969R5
PPP1R32	Q7Z5V6
PPP1R35	Q8TAP8
PPP1R3A	Q16821
PPP1R2B	Q6NXS1
PPP1R2C	O14990
PPP1R26	Q5T8A7
PPP1R27	Q86WC6
PPP1R21	Q6ZMI0
ICK	Q9UPZ9
BPIFB2	Q8N4F0
BPIFB1	Q8TDL5
PPP1R1A	Q13522
BPIFB3	P59826
PPP1R1C	Q8WVI7
ID2	Q02363
ID1	P41134
PPP1R1B	Q9UD71
ID4	P47928
ID3	Q02535
ANKRD18A	Q8IVF6
PPP1R17	O96001
PPP1R11	O60927
PPP1R10	Q96QC0
KIF14	Q15058
HNF4G	Q14541
MIA2	Q96PC5
AP2A1	O95782
MIA3	Q5JRA6
KIF12	Q96FN5
KIF11	P52732
IDE	P14735
AP2A2	O94973
PPP1R18	Q6NYC8
KIF17	Q9P2E2
KIF15	Q9NS87
SPANXN3	Q5MJ09
SPANXN2	Q5MJ10
KIF19	Q2TAC6
SPANXN4	Q5MJ08
HNF4A	P41235
KIF1C	O43896
IDS	P22304
KIF1B	O60333
KIF1A	Q12756
NDEL1	Q9GZM8
KIF25	Q9UIL4
KIF24	Q5T7B8
KIF23	Q02241
MMEL1	Q495T6
KIF22	Q14807
KIF27	Q86VH2
OOEP	A6NGQ2
KIF2A	O00139
KIF2C	Q99661
KIF2B	Q8N4N8
STX12	Q86Y82
STX17	P56962
STX16	O14662
STX19	Q8N4C7
STX18	Q9P2W9
XIAP	P98170
FUOM	A2VDF0
COL19A1	Q14993
STX11	O75558
STX10	O60499
MICA	Q29983
MICB	Q29980
ERCC6L2	Q5T890
MIB2	Q96AX9
AP2B1	P63010
DOHH	Q9BU89
MIB1	Q86YT6
MIDN	Q504T8
ERCC6L	Q2NKX8
IHH	Q14623
KIF5C	O60282
KIF5B	P33176
KIF5A	Q12840
G6PD	P11413
G6PC	P35575
MID1	O15344
MID2	Q9UJV3
DOK1	Q99704
DOK2	O60496
DOK3	Q7L591
DOK4	Q8TEW6
DOK5	Q9P104
DOK6	Q6PKX4
DOK7	Q18PE1
TMED10	P49755
SEL1L	Q9UBV2
PSEN2	P49810
PSEN1	P49768
FUT2	Q10981
FUT1	P19526
FUT4	P22083
FUT3	P21217
FUT6	P51993
FUT5	Q11128
FUT8	Q9BYC5
FUT7	Q11130
KIF3B	O15066
FUT9	Q9Y231
KIF3A	Q9Y496
KIF3C	O14782
ITPRID2	P28290
PHF10	Q8WUB8
PHF12	Q96QT6
PHF11	Q9UIL8
DOLK	Q9UPQ8
IL2	P60568
IL4	P05112
IL3	P08700
IL6	P05231
IL5	P05113
KIF4B	Q2VIQ3
IL7	P13232
KIF4A	O95239
IL9	P15248
PHF14	O94880
PHF13	Q86YI8
PHF19	Q5T6S3
SNED1	Q8TER0
ILK	Q13418
OR10AG1	Q8NH19
PPP1R9A	Q9ULJ8
PPP1R9B	Q96SB3
IGLC3	P0DOY3
IGLC1	P0CG04
IGLC2	P0DOY2
B3GALT5-AS1	P59052
CNPPD1	XP_005246519
VCAN	P13611
LMBRD1	Q9NUN5
LMBRD2	Q68DH5
INA	Q16352
INS	P01308
PDLIM1	O00151
PDLIM3	Q53GG5
PDLIM2	Q96JY6
TAS1R2	Q8TE23
TAS1R1	Q7RTX1
PDLIM5	Q96HC4
TAS1R3	Q7RTX0
PDLIM4	P50479
PDLIM7	Q9NR12
MBTPS1	Q14703
IGLC7	A0M8Q6
MIIP	Q5JXC2
IGLC6	P0CF74
MAPK14	Q16539
MAPK15	Q8TD08
MAPK12	P53778
U2SURP	O15042
MAPK13	O15264
MAPK10	P53779
MAPK11	Q15759
CHPT1	Q8WUD6
PMFBP1	Q8TBY8
MBTPS2	O43462
SERPINE2	P07093
SERPINE1	P05121
IPP	Q9Y573
DCANP1	Q8TF63
DUS4L	O95620
EARS2	Q5JPH6
PRIMA1	Q86XR5
SERPINF1	P36955
SERPINF2	P08697
BIN3	Q9NQY0
BIN2	Q9UBW5
BIN1	O00499
YME1L1	Q96TA2
SERPING1	P05155
DUS3L	Q96G46
MAPKAP1	Q9BPZ7
FAM160B1	Q5W0V3
FAM160B2	Q86V87
RAD21	O60216
SERPINH1	P50454
SIVA1	O15304
TRIP4	Q15650
ISX	Q2M1V0
FAM160A1	Q05DH4
FAM160A2	Q8N612
TRIP6	Q15654
SERPINI2	O75830
RAD17	O75943
SERPINI1	Q99574
DUS1L	Q6P1R4
RAD18	Q9NS91
ITK	Q08881
SERPINA3	P01011
SERPINA1	P01009
SPIN4	Q56A73
SPIN3	Q5JUX0
SRP54	P61011
SERPINA6	P08185
SERPINA7	P05543
SERPINA4	P29622
SERPINA5	P05154
TRIM8	Q9BZR9
TRIM9	Q9C026
PIP4P2	Q8N4L2
CSRP3	P50461
TRIM6	Q9C030
CSRP2	Q16527
TRIM7	Q9C029
PIP4P1	Q86T03
C14orf178	Q8N769
TRIM4	Q9C037
CSRP1	P21291
TRIM5	Q9C035
TRIM2	Q9C040
TRIM3	O75382
SPIN1	Q9Y657
RACK1	P63244
AP3S2	P59780
AP3S1	Q92572
SERPINB3	P29508
FCRL1	Q96LA6
SERPINB4	P48594
MIOX	Q9UGB7
FCRL2	Q96LA5
SERPINB1	P30740
SERPINB2	P05120
MIOS	Q9NXC5
FCRL5	Q96RD9
FCRL3	Q96P31
ITPK1	Q13572
FCRL4	Q96PJ5
SERPINB9	P50453
NUDT16L1	Q9BRJ7
SERPINB7	O75635
SERPINB8	P50452
SERPINB5	P36952
SERPINB6	P35237
ITPKB	P27987
ITPKC	Q96DU7
IVD	P26440
ITPKA	P23677
IVL	P07476
SERPINC1	P01008
SLC22A20P	A6NK97
CHRND	Q07001
CHRNG	P07510
SRP72	O76094
CHRNE	Q04844
MISP	Q8IVT2
SERPIND1	P05546
GTF2H1	P32780
C14orf180	Q8N912
GTF2H2	Q13888
SRP68	Q9UHB9
GTF2H3	Q13889
GTF2H4	Q92759
GTF2H5	Q6ZYL4
CHRM2	P08172
SEMA5A	Q13591
CHRM3	P20309
SEMA5B	Q9P283
CHRM1	P11229
CHRM4	P08173
CHRM5	P08912
FABP12	A6NFH5
IYD	Q6PHW0
TECTA	O75443
TECTB	Q96PL2
TPD52	P55327
SEMA6C	Q9H3T2
BIVM	Q86UB2
SEMA6A	Q9H2E6
SEMA6D	Q8NFY4
MITF	O75030
GTF2F1	P35269
GTF2F2	P13984
TTPAL	Q9BTX7
ANKRD36B	Q8N2N9
SEMA7A	O75326
RHOBTB3	O94955
ITPR1	Q14643
ITPR2	Q14571
ITPR3	Q14573
VTCN1	Q7Z7D3
GTF2E1	P29083
RHOBTB1	O94844
GTF2E2	P29084
RHOBTB2	Q9BYZ6
ANKRD34A	Q69YU3
SLC37A2	Q8TED4
ANKRD34C	P0C6C1
SLC37A1	P57057
TECRL	Q5HYJ1
NSFL1C	Q9UNZ2
RAD9B	Q6WBX8
RAD9A	Q99638
LMBR1L	Q6UX01
ANKRD33B	NP_001157912
SYCP2	Q9BX26
SYCP1	Q15431
GADL1	Q6ZQY3
DNALI1	O14645
OPA1	O60313
OPA3	Q9H6K4
HYDIN	Q4G0P3
SLC37A4	O43826
SLC37A3	Q8NCC5
PLPBP	O94903
NIPSNAP1	Q9BPW8
NIPSNAP2	O75323
PTP4A1	Q93096
PTP4A2	Q12974
PTP4A3	O75365
GTF2A1	P52655
GTF2A2	P52657
SEMA3C	Q99985
SEMA3D	O95025
SEMA3A	Q14563
SEMA3B	Q13214
SEMA3G	Q9NS98
SEMA3E	O15041
SEMA3F	Q13275
DPCD	Q9BVM2
AP3M2	P53677
AP3M1	Q9Y2T2
EEF2KMT	Q96G04
SEMA4A	Q9H3S1
ANKRD30B	Q9BXX2
SEMA4D	Q92854
ANKRD30A	Q9BXX3
SEMA4B	Q9NPR2
CDC42BPG	Q6DT37
ADRM1	Q16186
SEMA4C	Q9C0C4
SEMA4F	O95754
CFLAR	O15519
CDC42BPB	Q9Y5S2
SEMA4G	Q9NTN9
CDC42BPA	Q5VT25
TPCN2	Q8NHX9
TRIT1	Q9H3H1
TPCN1	Q9ULQ1
RAD52	P43351
RAD50	Q92878
RAD51	Q06609
SYCP3	Q8IZU3
DPF1	Q92782
DPF2	Q92785
DPF3	Q92784
TIPIN	Q9BVW5
SLC11A1	P49279
SLC11A2	P49281
BOLA1	Q9Y3E2
ZPBP	Q9BS86
PLPP7	Q8NBV4
PLPP6	Q8IY26
PLPP5	Q8NEB5
PLPP4	Q5VZY2
TCERG1L	Q5VWI1
BOLA3	Q53S33
GRWD1	Q9BQ67
PAPPA	Q13219
BOLA2	Q9H3K6
WDPCP	XP_005264405
PLPP3	O14495
PLPP2	O43688
PLPP1	O14494
PTDSS2	Q9BVG9
SGPL1	O95470
PTDSS1	P48651
DPH1	Q9BZG8
DPH2	Q9BQC3
DPH3	Q96FX2
NAALAD2	Q9Y3Q0
DPH5	Q9H2P9
DPH6	Q7L8W6
DPH7	Q9BTV6
SRPK2	P78362
SRPK3	Q9UPE1
SRPK1	Q96SB4
SESTD1	Q86VW0
NODAL	Q96S42
DAZAP2	Q15038
DAZAP1	Q96EP5
HILPDA	Q9Y5L2
AP3B1	O00203
AP3B2	Q13367
CEACAM3	P40198
CEACAM1	P13688
ADRB3	P13945
CEACAM7	Q14002
CEACAM6	P40199
CEACAM5	P06731
CEACAM8	P31997
PAPLN	O95428
ANKMY2	Q8IV38
JHY	Q6NUN7
ANKMY1	Q9P2S6
C1GALT1	Q9NS00
AP3D1	O14617
RAB3GAP2	Q9H2M9
ZNF354A	O60765
RAB3GAP1	Q15042
ZNF354C	Q86Y25
ZNF354B	Q96LW1
SYDE2	Q5VT97
SYDE1	Q6ZW31
IPCEF1	Q8WWN9
DPM1	O60762
DPM2	O94777
DPM3	Q9P2X0
TIPRL	O75663
TEDC1	Q86SX3
TEDC2	Q7L2K0
ADRB1	P08588
ADRB2	P07550
DPP3	Q9NY33
DPP4	P27487
DPP6	P42658
DPP7	Q9UHL4
DPP8	Q6V1X1
DPP9	Q86TI2
CASKIN2	Q8WXE0
CASKIN1	Q8WXD9
RSPH10B2	B2RC85
OPN4	Q9UHM6
OPN3	Q9H1Y3
OPN5	Q6U736
JMY	Q8N9B5
SRPRA	P08240
SRPRB	Q9Y5M8
RADIL	Q96JH8
C10orf111	Q8N326
TAS2R7	Q9NYW3
TAS2R9	Q9NYW1
C10orf120	Q5SQS8
TAS2R8	Q9NYW2
BDKRB2	P30411
BDKRB1	P46663
TAS2R1	Q9NYW7
TAS2R3	Q9NYW6
TAS2R5	Q9NYW4
TAS2R4	Q9NYW5
REPS2	Q8NFH8
S1PR1	P21453
C14orf119	Q9NWQ9
S1PR3	Q99500
S1PR2	O95136
S1PR5	Q9H228
S1PR4	O95977
REPS1	Q96D71
RWDD1	Q9H446
RWDD3	Q9Y3V2
RWDD4	Q6NW29
KDF1	Q8NAX2
SGPP2	Q8IWX5
SGPP1	Q9BX95
XPNPEP1	Q9NQW7
XPNPEP2	O43895
XPNPEP3	Q9NQH7
ZPR1	O75312
ITSN2	Q9NZM3
JRK	O75564
IGHV3-23	P01764
ITSN1	Q15811
GAGE8	Q9UEU5
ANKFY1	Q9P2R3
HEMK1	Q9Y5R4
IGHV3-30	P01768
CXADR	P78310
IGHV3-33	P01772
MTHFD1	P11586
EWSR1	Q01844
MTHFD2	P13995
OPTC	Q9UBM4
JTB	O76095
OPTN	Q96CV9
NPBWR1	P48145
NPBWR2	P48146
LTA4H	P09960
HEXIM1	O94992
HEXIM2	Q96MH2
JUN	P05412
HLA-DRB5	Q30154
HLA-DRB4	P13762
JUP	P14923
IGHV3-11	P01762
EIF2AK1	Q9BQI3
IGHV3-13	P01766
EIF2AK3	Q9NZJ5
EIF2AK2	P19525
EIF2AK4	Q9P2K8
HLA-DRB3	P79483
HLA-DRB1	Q9TQE0
DPYS	Q14117
KDM8	Q8N371
TFCP2L1	Q9NZI6
NHSL2	Q5HYW2
NHSL1	Q5SYE7
DUSP4	Q13115
CHST8	Q9H2A9
DUSP5	Q16690
CHST9	Q7L1S5
CHST6	Q9GZX3
DUSP2	Q05923
CHST7	Q9NS84
DUSP3	P51452
DUSP1	P28562
DUSP8	Q13202
DUSP9	Q99956
DUSP6	Q16828
DUSP7	Q16829
DPYD	Q12882
CHST1	O43916
CHST4	Q8NCG5
CHST5	Q9GZS9
CHST2	Q9Y4C5
CHST3	Q7LGC8
ABRACL	Q9P1F3
CST11	Q9H112
ATAD1	Q8NBU5
ATAD5	Q96QE3
ATAD2	Q6PL18
PASD1	Q8IV76
EFEMP2	O95967
EFEMP1	Q12805
KMT5B	Q4FZB7
KMT5A	Q9NQR1
UGT2B10	P36537
IFNA13	P01562
